time_ms,bme_temp,dht_temp
1215871,29.65,29.90
1217897,29.65,29.90
1219924,29.64,29.90
1221950,29.64,29.90
1223976,29.64,29.90
1226002,29.63,29.90
1228028,29.64,29.90
1230054,29.64,29.90
1232081,29.64,29.90
1234107,29.63,29.90
1236133,29.64,29.90
1238159,29.64,29.90
1240185,29.64,29.90
1242211,29.64,29.90
1244237,29.64,29.90
1246264,29.64,29.90
1248290,29.64,29.90
1250316,29.63,29.90
1252342,29.63,29.90
1254368,29.63,29.90
1256395,29.63,29.90
1258421,29.62,29.90
1260447,29.63,29.90
1262474,29.63,29.90
1264500,29.63,29.90
1266526,29.62,29.90
1268552,29.62,29.90
1270578,29.62,29.90
1272604,29.62,29.90
1274631,29.62,29.90
1276657,29.62,29.90
1278683,29.63,29.90
1280709,29.62,29.90
1282735,29.63,29.90
1284761,29.64,29.90
1286787,29.63,29.90
1288814,29.63,29.90
1290840,29.63,29.90
1292866,29.63,29.90
1294892,29.63,29.90
1296918,29.63,29.90
1298944,29.63,29.90
1300970,29.63,29.90
1302997,29.63,29.90
1305023,29.63,29.90
1307049,29.63,29.90
1309075,29.62,29.90
1311101,29.63,29.90
1313127,29.63,29.90
1315153,29.63,29.90
1317180,29.63,29.90
1319206,29.63,29.90
1321232,29.62,29.90
1323258,29.62,29.90
1325284,29.62,29.90
1327310,29.62,29.90
1329336,29.62,29.90
1331363,29.62,29.90
1333389,29.62,29.90
1335415,29.61,29.90
1337441,29.61,29.90
1339467,29.61,29.90
1341493,29.61,29.90
1343520,29.61,29.90
1345546,29.61,29.90
1347572,29.61,29.90
1349598,29.60,29.90
1351624,29.61,29.90
1353650,29.62,29.90
1355676,29.61,29.90
1357703,29.61,29.90
1359729,29.61,29.90
1361755,29.60,29.90
1363781,29.61,29.90
1365807,29.60,29.90
1367833,29.60,29.90
1369859,29.60,29.90
1371886,29.60,29.90
1373913,29.60,29.90
1375939,29.61,29.90
1377965,29.61,29.90
1379991,29.61,29.90
1382017,29.61,29.90
1384043,29.62,29.90
1386070,29.62,29.90
1388096,29.61,29.90
1390122,29.61,29.90
1392148,29.61,29.90
1394174,29.61,29.90
1396200,29.61,29.90
1398226,29.61,29.90
1400253,29.61,29.90
1402279,29.61,29.90
1404305,29.61,29.90
1406331,29.61,29.90
1408357,29.62,29.90
1410383,29.62,29.90
1412409,29.63,29.90
1414436,29.63,29.90
1416462,29.63,29.90
1418488,29.63,29.90
1420514,29.63,29.90
1422540,29.62,29.90
1424566,29.62,29.90
1426592,29.62,29.90
1428619,29.62,29.90
1430645,29.62,29.90
1432671,29.63,29.90
1434697,29.63,29.90
1436723,29.63,29.90
1438749,29.63,29.90
1440775,29.63,29.90
1442802,29.63,29.90
1444828,29.63,29.90
1446854,29.64,29.90
1448880,29.63,29.90
1450906,29.63,29.90
1452932,29.63,29.90
1454959,29.63,29.90
1456985,29.62,29.90
1459011,29.63,29.90
1461037,29.63,29.90
1463063,29.62,29.90
1465089,29.62,29.90
1467115,29.62,29.90
1469142,29.62,29.90
1471168,29.61,29.90
1473194,29.63,29.90
1475220,29.63,29.90
1477246,29.64,29.90
1479272,29.64,29.90
1481298,29.63,29.90
1483325,29.63,29.90
1485351,29.63,29.90
1487377,29.63,29.90
1489403,29.63,29.90
1491430,29.63,29.90
1493456,29.62,29.90
1495482,29.62,29.90
1497509,29.62,29.90
1499535,29.62,29.90
1501561,29.63,29.90
1503587,29.63,29.90
1505613,29.62,29.90
1507639,29.63,29.90
1509665,29.62,29.90
1511692,29.62,29.90
1513718,29.62,29.90
1515744,29.62,29.90
1517770,29.62,29.90
1519796,29.61,29.90
1521822,29.62,29.90
1523848,29.62,29.90
1525875,29.62,29.90
1527901,29.63,29.90
1529927,29.63,29.90
1531953,29.62,29.90
1533979,29.62,29.90
1536005,29.62,29.90
1538031,29.61,29.90
1540058,29.61,29.90
1542084,29.61,29.90
1544110,29.62,29.90
1546136,29.62,29.90
1548162,29.62,29.90
1550188,29.62,29.90
1552214,29.62,29.90
1554241,29.62,29.90
1556267,29.63,29.90
1558293,29.63,29.90
1560319,29.62,29.90
1562345,29.63,29.90
1564371,29.63,29.90
1566398,29.61,29.90
1568424,29.61,29.90
1570450,29.61,29.90
1572476,29.62,29.90
1574503,29.62,29.90
1576529,29.61,29.90
1578555,29.61,29.90
1580581,29.61,29.90
1582608,29.61,29.90
1584634,29.61,29.90
1586660,29.61,29.90
1588686,29.62,29.90
1590712,29.63,29.90
1592738,29.62,29.90
1594765,29.63,29.90
1596791,29.63,29.90
1598817,29.63,29.90
1600843,29.62,29.90
1602869,29.62,29.90
1604895,29.61,29.90
1606921,29.61,29.90
1608948,29.61,29.90
1610974,29.60,29.90
1613000,29.61,29.90
1615026,29.60,29.90
1617052,29.60,29.90
1619078,29.60,29.90
1621104,29.61,29.90
1623131,29.61,29.90
1625157,29.61,29.90
1627183,29.61,29.90
1629209,29.61,29.90
1631235,29.62,29.90
1633261,29.63,29.90
1635287,29.62,29.90
1637314,29.62,29.90
1639340,29.63,29.90
1641366,29.62,29.90
1643392,29.62,29.90
1645418,29.61,29.90
1647445,29.61,29.90
1649471,29.61,29.90
1651498,29.61,29.90
1653524,29.61,29.90
1655550,29.62,29.90
1657576,29.63,29.90
1659603,29.62,29.90
1661629,29.63,29.90
1663655,29.63,29.90
1665681,29.63,29.90
1667707,29.62,29.90
1669733,29.62,29.90
1671759,29.61,29.90
1673786,29.61,29.90
1675812,29.61,29.90
1677838,29.61,29.90
1679864,29.61,29.90
1681890,29.61,29.90
1683916,29.60,29.90
1685942,29.60,29.90
1687969,29.60,29.90
1689995,29.60,29.90
1692021,29.59,29.90
1694047,29.60,29.90
1696073,29.60,29.90
1698099,29.59,29.90
1700126,29.60,29.90
1702152,29.59,29.90
1704178,29.59,29.90
1706204,29.59,29.90
1708230,29.59,29.90
1710256,29.59,29.90
1712282,29.58,29.90
1714309,29.58,29.90
1716335,29.57,29.90
1718361,29.57,29.90
1720387,29.58,29.90
1722413,29.58,29.90
1724440,29.58,29.90
1726466,29.58,29.90
1728492,29.58,29.90
1730518,29.58,29.90
1732544,29.58,29.80
1734570,29.57,29.90
1736596,29.58,29.90
1738623,29.58,29.80
1740648,29.58,29.90
1742674,29.58,29.90
1744700,29.58,29.90
1746726,29.58,29.80
1748752,29.58,29.80
1750778,29.58,29.90
1752804,29.58,29.80
1754830,29.58,29.80
1756856,29.58,29.90
1758883,29.58,29.90
1760909,29.58,29.80
1762935,29.59,29.90
1764961,29.58,29.90
1766988,29.58,29.90
1769014,29.57,29.90
1771040,29.58,29.80
1773066,29.57,29.80
1775092,29.57,29.90
1777119,29.57,29.80
1779145,29.56,29.80
1781171,29.57,29.80
1783197,29.56,29.80
1785223,29.57,29.80
1787249,29.57,29.80
1789275,29.58,29.80
1791301,29.58,29.80
1793327,29.58,29.80
1795353,29.57,29.80
1797379,29.57,29.80
1799405,29.57,29.80
1801431,29.57,29.80
1803457,29.56,29.80
1805483,29.56,29.80
1807509,29.57,29.80
1809535,29.57,29.80
1811561,29.56,29.80
1813588,29.56,29.80
1815614,29.56,29.80
1817640,29.56,29.80
1819666,29.56,29.80
1821692,29.55,29.80
1823718,29.54,29.80
1825744,29.54,29.80
1827770,29.53,29.80
1829796,29.52,29.80
1831822,29.51,29.80
1833848,29.50,29.80
1835874,29.50,29.80
1837900,29.49,29.80
1839926,29.48,29.80
1841952,29.47,29.80
1843978,29.46,29.80
1846004,29.44,29.80
1848030,29.44,29.80
1850056,29.44,29.70
1852083,29.44,29.70
1854109,29.43,29.70
1856135,29.42,29.70
1858161,29.42,29.70
1860187,29.42,29.70
1862214,29.41,29.70
1864240,29.40,29.70
1866266,29.40,29.70
1868292,29.40,29.70
1870318,29.40,29.70
1872345,29.39,29.70
1874371,29.38,29.70
1876397,29.38,29.70
1878423,29.37,29.60
1880449,29.36,29.60
1882475,29.35,29.60
1884501,29.35,29.60
1886528,29.34,29.60
1888554,29.34,29.60
1890580,29.34,29.60
1892606,29.32,29.60
1894632,29.32,29.60
1896659,29.32,29.60
1898685,29.33,29.60
1900710,29.32,29.60
1902736,29.32,29.60
1904762,29.32,29.60
1906788,29.32,29.60
1908814,29.32,29.60
1910840,29.31,29.60
1912866,29.31,29.60
1914892,29.31,29.60
1916918,29.30,29.60
1918944,29.30,29.60
1920970,29.30,29.40
1922996,29.30,29.40
1925022,29.30,29.40
1927048,29.30,29.40
1929074,29.28,29.40
1931100,29.28,29.40
1933126,29.28,29.40
1935152,29.29,29.40
1937178,29.28,29.40
1939204,29.27,29.40
1941231,29.27,29.40
1943257,29.26,29.40
1945283,29.26,29.40
1947309,29.26,29.40
1949335,29.26,29.40
1951361,29.25,29.40
1953387,29.25,29.40
1955413,29.25,29.40
1957439,29.24,29.40
1959465,29.24,29.40
1961491,29.24,29.40
1963517,29.23,29.40
1965543,29.23,29.40
1967569,29.23,29.40
1969595,29.23,29.40
1971621,29.23,29.40
1973647,29.22,29.40
1975673,29.22,29.40
1977699,29.21,29.40
1979725,29.22,29.40
1981751,29.22,29.40
1983777,29.21,29.40
1985803,29.19,29.40
1987829,29.19,29.30
1989855,29.19,29.30
1991881,29.18,29.30
1993907,29.18,29.30
1995934,29.18,29.30
1997959,29.18,29.30
1999985,29.18,29.30
2002011,29.18,29.30
2004037,29.17,29.30
2006063,29.17,29.30
2008089,29.17,29.30
2010115,29.17,29.30
2012142,29.16,29.30
2014168,29.16,29.30
2016194,29.15,29.30
2018220,29.15,29.30
2020246,29.15,29.30
2022272,29.15,29.30
2024298,29.15,29.30
2026324,29.14,29.30
2028351,29.14,29.30
2030376,29.14,29.30
2032402,29.14,29.30
2034428,29.14,29.30
2036454,29.13,29.30
2038480,29.13,29.30
2040506,29.13,29.30
2042532,29.13,29.30
2044558,29.13,29.30
2046584,29.14,29.30
2048610,29.14,29.30
2050636,29.13,29.30
2052662,29.13,29.30
2054688,29.12,29.30
2056714,29.12,29.30
2058741,29.12,29.30
2060767,29.12,29.30
2062793,29.12,29.30
2064819,29.11,29.30
2066845,29.11,29.30
2068872,29.10,29.30
2070898,29.10,29.30
2072924,29.10,29.30
2074950,29.10,29.30
2076976,29.08,29.30
2079003,29.09,29.30
2081029,29.08,29.20
2083055,29.08,29.20
2085081,29.08,29.20
2087107,29.09,29.20
2089133,29.08,29.20
2091159,29.07,29.20
2093185,29.07,29.20
2095211,29.06,29.20
2097238,29.07,29.20
2099264,29.07,29.20
2101290,29.06,29.20
2103316,29.06,29.20
2105342,29.06,29.20
2107368,29.06,29.20
2109394,29.05,29.20
2111420,29.06,29.20
2113446,29.05,29.20
2115472,29.06,29.20
2117499,29.05,29.20
2119525,29.05,29.20
2121551,29.06,29.20
2123577,29.05,29.20
2125603,29.06,29.20
2127629,29.05,29.20
2129655,29.04,29.20
2131681,29.04,29.20
2133707,29.05,29.20
2135733,29.04,29.20
2137760,29.04,29.20
